"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"1","My colorful, magical, dancing, screaming 40-something birthday with Harry Styles","1661288175000","Alright, I'll say it. I just turned 47. And the reason I am telling you my age is because I will not be ashamed or embarrassed by it.","https://www.cnn.com/2022/08/23/entertainment/harry-styles-concert-madison-square-garden/index.html","1","ENTERTAINMENT"
"2","Jennifer Lopez offers glimpse of her wedding look","1661272475000","Jennifer Lopez Affleck is sharing her wedding look with her subscribers.","https://www.cnn.com/2022/08/23/entertainment/jennifer-lopez-wedding-dress/index.html","2","ENTERTAINMENT"
"3","Andrew Garfield recalls 'starving' himself for movie 'Silence'","1661273912000","Andrew Garfield has revealed that he went celibate and fasted for several months to prepare for his role as a Jesuit priest in the 2016 film ""Silence."" ","https://www.cnn.com/2022/08/23/entertainment/andrew-garfield-sex-food-method-acting-intl-scli/index.html","3","ENTERTAINMENT"
"4","Emily Carey, 'House of the Dragon' star, had to delete Twitter ","1661259591000","Emily Carey is 19 years old and she says she loves social media.","https://www.cnn.com/2022/08/23/entertainment/emily-carey-twitter-backlash/index.html","4","ENTERTAINMENT"
"5","Gary Busey responds to sex offense charges: 'I was not inappropriate at all'","1661313381000","Actor Gary Busey denied allegations of sexual misconduct when a TMZ producer caught up with him at a Malibu gas station on Monday, the outlet reported. ","https://www.cnn.com/2022/08/23/entertainment/gary-busey-sex-offense-response/index.html","5","ENTERTAINMENT"
"6","The 'Knives Out' sequel gets a release date","1661261688000","The ""Knives Out"" sequel is coming.","https://www.cnn.com/2022/08/23/entertainment/knives-out-sequel-glass-onion/index.html","6","ENTERTAINMENT"
"7","Harry Styles talks privacy and sexuality in a new interview","1661200515000","Even the biggest pop star in the world is uncomfortable when his private relationships go public. ","https://www.cnn.com/2022/08/22/entertainment/harry-styles-rolling-stone-queerbaiting-cec/index.html","7","ENTERTAINMENT"
"8","How 'House of the Dragon' weaves real-world echoes into its fantasy realm","1661187275000","Medieval-style medicine obviously had its limits. But a pivotal moment in the ""House of the Dragon"" premiere will likely resonate for many in a way that goes beyond the realm of fantasy and touches upon real-world concerns about women's reproductive rights.","https://www.cnn.com/2022/08/22/entertainment/house-of-the-dragon-recap/index.html","8","ENTERTAINMENT"
"9","'The Last of Us' teaser has arrived ","1661178682000","Gamers and action lovers unite.","https://www.cnn.com/2022/08/22/entertainment/last-of-us-teaser/index.html","9","ENTERTAINMENT"
"10","Snoop Dogg presents children's series 'Doggyland - Kids Songs & Nursery Rhymes'","1661259625000","Snoop Dogg is expanding his empire to include something for the kids.","https://www.cnn.com/2022/08/23/entertainment/snoop-dogg-doggyland/index.html","10","ENTERTAINMENT"
"11","Sarah Hyland, 'Modern Family' star, marries Wells Adams ","1661162929000","It was a ""Modern Family"" reunion when Sarah Hyland tied the knot with her longtime partner, Wells Adams, over the weekend.","https://www.cnn.com/2022/08/22/entertainment/sarah-hyland-modern-family-wedding-intl-scli/index.html","11","ENTERTAINMENT"
"12","Scott Disick suffered minor injuries in a car crash over the weekend ","1661200952000","Scott Disick was in a single vehicle collision in Calabasas, California on Sunday, according to the Los Angeles County Sheriff's Department.","https://www.cnn.com/2022/08/22/entertainment/scott-disick-car-accident/index.html","12","ENTERTAINMENT"
"13","How 'Severance' perfected its creepy, beautiful visual language","1660995983000","When we first meet Helly R., the indefatigable heroine of ""Severance,"" she's splayed on a conference table in a windowless room carpeted in putrid shades of green. She awakens, for the first time, as an ""innie"" -- someone who's elected to sever their brain so that they can perform their work duties as a person separate from who they are out of the office -- an extreme means of achieving work-life balance. ","https://www.cnn.com/2022/08/20/entertainment/severance-set-design-emmys-2022-cec/index.html","13","ENTERTAINMENT"
"14","All the nerdy things you need to know about 'House of the Dragon'","1661087652000","""Game of Thrones"" fans, it's time to put your season 8 trust issues aside and return to Westeros for another emotionally taxing adventure!  HBO's new spinoff ""House of the Dragon"" promises to have all of the rich lore of the original series, plus an extended CGI dragon budget. ","https://www.cnn.com/2022/08/21/entertainment/house-of-dragon-what-to-know-cec/index.html","14","ENTERTAINMENT"
"15","Priyanka Chopra Jonas shares picture with her daughter ","1661169581000","Priyanka Chopra Jonas clearly enjoys being a mom.","https://www.cnn.com/2022/08/22/entertainment/priyanka-chopra-jonas-baby/index.html","15","ENTERTAINMENT"
"16","Bullied boy with dwarfism scores role in new 'Mad Max' movie","1661174708000","Quaden Bayles, an indigenous Australian boy who won the support of celebrities and well-wishers around the globe after being bullied because of his disability, has landed a role in the new ""Mad Max"" movie.","https://www.cnn.com/2022/08/22/entertainment/bullied-boy-quaden-bayles-mad-max-intl-scli/index.html","16","ENTERTAINMENT"
"17","Trevor Noah defends Kanye West: 'Human beings as a whole are complicated'","1660920466000","Trevor Noah is sick of cancel culture and he had something to say about the public's recent perception of Kanye West.","https://www.cnn.com/2022/08/19/entertainment/trevor-noah-kanye-west/index.html","17","ENTERTAINMENT"
