"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"1","Dugong: Animal that inspired mermaid tales extinct in China","1661297211000","The dugong, a relative of the fabled manatee, has been declared functionally extinct in the region.","https://www.bbc.co.uk/news/science-environment-62638485?at_medium=RSS&at_campaign=KARANGA","1","SCIENCE"
"2","James Webb: Space telescope reveals 'incredible' Jupiter views","1661224910000","The James Webb Space Telescope shows the planet's auroras and storms in unprecedented detail.","https://www.bbc.co.uk/news/science-environment-62641866?at_medium=RSS&at_campaign=KARANGA","2","SCIENCE"
"3","New space telescope shows Jupiter's auroras, tiny moons","1661222516030","The James Webb Space Telescope took the photos in July, capturing unprecedented views of Jupiter’s northern and southern lights, and swirling polar haze. Jupiter's Great Red Spot, a storm big enough to swallow Earth, stands out brightly alongside countless smaller storms.","https://timesofindia.indiatimes.com/home/science/new-space-telescope-shows-jupiters-auroras-tiny-moons/articleshow/93719560.cms","2","SCIENCE"
"4","Photos From New Space Telescope Show Jupiter In A New Light","1661190371000","The James Webb Space Telescope took the photos in July, capturing unprecedented views of Jupiter’s northern and southern lights, and swirling polar haze.","https://www.huffpost.com/entry/jupiter-photos-auroras-james-webb-space-telescope_n_6303bf16e4b0f72c09d98e9c","2","SCIENCE"
"5","James Webb space telescope shows Jupiter&#039;s auroras, tiny moons ","1661261269000","The world&#039;s newest and most powerful space telescope is showing Jupiter as never before, auroras and all","https://www.thehindu.com/sci-tech/technology/james-webb-space-telescope-jupiter-aurorora-moon/article65800292.ece","2","SCIENCE"
"6","James Webb Space Telescope captures stunning new images of Jupiter","1661227724000","","https://indianexpress.com/article/technology/science/james-webb-space-telescope-captures-stunning-new-images-of-jupiter-8106166/","2","SCIENCE"
"7","‘Never seen Jupiter like this’: James Webb telescope shows incredible view of planet","1661207776000","The infrared images, taken in July, capture unprecedented views of the biggest planet’s storms, moon and surrounding ringsThe world’s newest and biggest space telescope is showing Jupiter as never before, auroras and all.Scientists released the shots on Monday of the solar system’s biggest planet. Continue reading...","https://www.theguardian.com/science/2022/aug/22/jupiter-james-webb-space-telescope-images-nasa","2","SCIENCE"
"8","James Webb space telescope shows Jupiter&#039;s auroras, tiny moons ","1661261269000","The world&#039;s newest and most powerful space telescope is showing Jupiter as never before, auroras and all","https://www.thehindu.com/sci-tech/technology/james-webb-space-telescope-jupiter-aurorora-moon/article65800292.ece","2","SCIENCE"
"9","Water firms face growing criticism over beach sewage","1661182730000","The government says companies are responsible but ministers also face accusations of failing to act.","https://www.bbc.co.uk/news/uk-62633559?at_medium=RSS&at_campaign=KARANGA","3","SCIENCE"
"10","English beach sewage dumps not monitored properly, data shows","1661157504000","Some water firms fail to install devices that measure storm overflows, according to the Lib Dems.","https://www.bbc.co.uk/news/science-environment-62626774?at_medium=RSS&at_campaign=KARANGA","4","SCIENCE"
"11","UK drought: Why do the trees think it's autumn already?","1660954051000","Experts say the unusual weather has triggered a 'false autumn' as trees struggle to cope with drought.","https://www.bbc.co.uk/news/science-environment-62582186?at_medium=RSS&at_campaign=KARANGA","5","SCIENCE"
"12","Robot boat maps Pacific underwater volcano","1660951812000","Uncrewed surface vessel Maxlimer surveys the underwater Hunga-Tonga seamount that erupted in January.","https://www.bbc.co.uk/news/science-environment-62606589?at_medium=RSS&at_campaign=KARANGA","6","SCIENCE"
"13","Food crops made 20% more efficient at harnessing sunlight","1660845915000","Researchers say a genetic modification that boosts plant growth could help alleviate global food shortages.","https://www.bbc.co.uk/news/science-environment-62592286?at_medium=RSS&at_campaign=KARANGA","7","SCIENCE"
"14","Freya the walrus: Did she have to be euthanised?","1660938442000","After becoming a tourist attraction in Oslo, a travelling walrus was killed. Was that right?","https://www.bbc.co.uk/news/world-europe-62556295?at_medium=RSS&at_campaign=KARANGA","8","SCIENCE"
"15","Breakthrough over potentially harmful chemicals found in most homes","1661182661000","US scientists have discovered a low-cost method for destroying chemicals associated with cancer.","https://www.bbc.co.uk/news/science-environment-62561756?at_medium=RSS&at_campaign=KARANGA","9","SCIENCE"
"16","First Native American woman to travel to space","1660827201000","Nasa astronaut Nicole Aunapu Mann will travel to the International Space Station in September.","https://www.bbc.co.uk/news/science-environment-62581401?at_medium=RSS&at_campaign=KARANGA","10","SCIENCE"
"17","Battery power problem cuts short Russian spacewalk, Nasa says","1660823346000","A cosmonaut was rushed back to the International Space Station on Wednesday, the US space agency says.","https://www.bbc.co.uk/news/science-environment-62587424?at_medium=RSS&at_campaign=KARANGA","11","SCIENCE"
"18","Hosepipe ban starts as drought declared in south-west Wales","1660922265000","A drought is officially declared in south-west Wales after heatwave causes water levels to plummet.","https://www.bbc.co.uk/news/uk-wales-62592174?at_medium=RSS&at_campaign=KARANGA","12","SCIENCE"
"19","Mystery of half-billion year old creature with no anus solved","1660781812000","A 500 million-year-old microscopic, spiny creature with a mouth but no anus had puzzled scientists.","https://www.bbc.co.uk/news/science-environment-62580967?at_medium=RSS&at_campaign=KARANGA","13","SCIENCE"
"20","UK drought: Why we need to get used to wonky vegetables","1660782311000","Our produce is likely to be smaller, odd-looking, or even leathery after the hot, dry weather.","https://www.bbc.co.uk/news/science-environment-62575247?at_medium=RSS&at_campaign=KARANGA","14","SCIENCE"
"21","Climate change: 'Staggering' rate of global tree losses from fires","1660726836000","A report says around 16 football pitches of trees per minute were lost to wildfires in 2021.","https://www.bbc.co.uk/news/science-environment-62569394?at_medium=RSS&at_campaign=KARANGA","15","SCIENCE"
"22","Climate scientists chase Arctic storms","1660182330000","Why climate scientists are trying to fly through Arctic cyclones in a small aircraft.","https://www.bbc.co.uk/news/science-environment-62490130?at_medium=RSS&at_campaign=KARANGA","16","SCIENCE"
"23","US Senate passes sweeping climate, tax and healthcare package","1659996157000","The bill seeks to lower the cost of medicines, increase corporate taxes and reduce carbon emissions.","https://www.bbc.co.uk/news/world-us-canada-62457386?at_medium=RSS&at_campaign=KARANGA","17","SCIENCE"
"24","Where has a drought been declared, and what does it mean?","1660927402000","An official drought has been declared in several parts of the UK.","https://www.bbc.co.uk/news/science-environment-62298430?at_medium=RSS&at_campaign=KARANGA","18","SCIENCE"
"25","The art of cutting carbon - how new technologies can help","1658876945000","With the 'de-printer' specially coated sheets of paper can be used 10 times over.","https://www.bbc.co.uk/news/science-environment-62265992?at_medium=RSS&at_campaign=KARANGA","19","SCIENCE"
"26","Satellite firms Eutelsat and OneWeb aim to combine operations","1658833087000","The French company is set to merge with the satellite firm pulled from bankruptcy by the UK government.","https://www.bbc.co.uk/news/science-environment-62306617?at_medium=RSS&at_campaign=KARANGA","20","SCIENCE"
"27","Russia to pull out of International Space Station","1658857207000","Moscow says it now wants to build its own station, ending more than 20 years of cooperation with the US.","https://www.bbc.co.uk/news/world-europe-62308069?at_medium=RSS&at_campaign=KARANGA","21","SCIENCE"
"28","James Webb: Nasa space telescope delivers spectacular pictures","1657639900000","A ""stellar nursery"" and a ""cosmic dance"" are among James Webb's first batch of colour images.","https://www.bbc.co.uk/news/science-environment-62140044?at_medium=RSS&at_campaign=KARANGA","22","SCIENCE"
"29","Fernando Tatis Jr. Apologizes To Padres, Fans For 80-Game Drug Suspension","1661297650000","“There’s no excuses,” the San Diego Padres shortstop said. “I need to do a way better job knowing what is going inside my body.”","https://www.huffpost.com/entry/fernando-tatis-jr-apology-padres-suspension_n_6305625de4b052615d75f638","23","SCIENCE"
"30","Pfizer COVID Shots Appear 73% Effective In Children Under 5","1661277199000","Pfizer’s says its COVID-19 vaccine was 73% effective in protecting children younger than 5 as omicron spread in the spring.","https://www.huffpost.com/entry/united-states-med-pfizer-kids_n_630511d7e4b0f72c09db6337","24","SCIENCE"
"31","NASA Released The Sound Of A Black Hole And It's Creepy As Hell","1661239879000","It's exactly what you'd expect a black hole to sound like.","https://www.huffpost.com/entry/nasa-black-hole-sound_n_63046037e4b0f72c09da20be","25","SCIENCE"
"32","Nasa releases audio of what a black hole 'sounds' like — video","1661230526000","On Sunday, Nasa released an audio clip that represents actual sound waves emanating from the enormous black hole at the centre of the Perseus galaxy cluster. The sound is edited so that human ears can hear it, with the agency saying they mixed it with “other data” and amplified it, adding that the idea that there is no sound in space was a misconception. Continue reading...","https://www.theguardian.com/science/video/2022/aug/23/nasa-releases-audio-of-black-hole","25","SCIENCE"
"33","NASA audio of what a black hole sounds like is eerily unsettling","1661250978000","","https://indianexpress.com/article/technology/science/nasa-black-hole-audio-perseus-m87-8107216/","25","SCIENCE"
"34","New, Faster Prenatal Test Could Save IVF Patients Thousands Of Dollars","1661214433000","The same-day STORK test allows doctors to identify chromosomal abnormalities in embryos prior to IVF, during pregnancy and after miscarriage.","https://www.huffpost.com/entry/new-faster-prenatal-test-ivf_l_62ffda2ee4b00c150d6161b1","26","SCIENCE"
"35","Google Doodle pays tribute to Indian physicist and meteorologist Anna Mani ","1661269508000","Anna Mani was an Indian physicist and meteorologist, who retired as the Deputy Director General of the Indian Meteorological Department","https://www.thehindu.com/sci-tech/science/google-doodle-pays-tribute-to-indian-physicist-and-meteorologist-anna-mani/article65800385.ece","27","SCIENCE"
"36","First trial of antiviral monkeypox drug that could speed recovery begins in UK","1661258755000","Clinical trial will explore whether Tecovirimat can reduce time it takes for skin lesions and ulcers to healThe first clinical trial in patients with monkeypox of an antiviral drug that could speed their recovery has begun in the UK.The trial, known as Platinum, will explore whether Tecovirimat – a drug originally developed for smallpox – may reduce the length of time it takes for skin lesions and ulcers to heal. Continue reading...","https://www.theguardian.com/world/2022/aug/23/first-trial-antiviral-monkeypox-drug-could-speed-recovery-begins-uk-tecovirimat","28","SCIENCE"
"37","Regular physical activity may lessen Covid risks, study finds","1661207445000","The research suggested exercise could affect the severity of infection, rates of hospitalisation and deathRegular exercise lowers your risk of developing Covid-19 or falling seriously ill with the disease, with about 20 minutes a day providing the greatest benefit, a global analysis of data suggests.Regular physical activity is linked to a lower risk of Covid-19 infection, severity, hospitalisation and death, according to the new pooled data analysis of the available evidence published in the British Journal of Sports Medicine. Continue reading...","https://www.theguardian.com/world/2022/aug/22/regular-physical-activity-may-lessen-covid-risks-study-finds","29","SCIENCE"
