"Id","Title","Time","Description","Link","ClusteredNumber","Category"
"1","Fan takes legal action against Kyrgios after allegation that she ​​was 'drunk out of her mind'","1661269533000","The woman who​m Nick Kyrgios accused of having ​had ""700 drinks"" ​and being ""drunk out of her mind"" during this year's Wimbledon final ​in early July says she is ​suing the Australian tennis player for defamation.","https://www.cnn.com/2022/08/23/tennis/nick-kyrgios-wimbledon-final-defamation-spt-intl/index.html","1","SPORTS"
"2","Fan accused by Nick Kyrgios of being drunk at Wimbledon begins legal action","1661253458000","Tennis fan Anna Palus says allegation was ‘entirely baseless’‘I hope Mr Kyrgios will reflect on the harm he has caused me’A woman who was accused by Nick Kyrgios of being drunk and distracting him during the Wimbledon men’s final in July is threatening to sue the Australian for defamation.Anna Palus, a Polish lawyer was temporarily removed from Centre Court after Kyrgios’s outburst, which she said contained “a reckless and entirely baseless allegation against me”. Continue reading...","https://www.theguardian.com/sport/2022/aug/23/nick-kyrgios-700-drinks-fan-accused-begins-legal-action-tennis-wimbledon","1","SPORTS"
"3","Fan Accused of Having '700 Drinks' by Nick Kyrgios Begins Legal Action","1661263698030","Nick Kyrgios is being taken to court over comments he made at a fan of being &quot;drunk out of her mind&quot; during his defeat at the Wimbledon final","https://www.news18.com/news/sports/fan-accused-of-having-700-drinks-by-nick-kyrgios-begins-legal-action-5808601.html","1","SPORTS"
"4","Wimbledon Spectator Threatens To Sue Kyrgios Over ""700 Drinks"" Comment","1661272067000","Nick Kyrgios is facing potential legal action for defamation from a woman he accused of being drunk and disruptive at this year's Wimbledon final.","https://sports.ndtv.com/tennis/wimbledon-spectator-threatens-to-sue-nick-kyrgios-3280380","1","SPORTS"
"5","Wimbledon fan taking legal action against Nick Kyrgios","1661264666000","","https://indianexpress.com/article/sports/tennis/wimbledon-fan-taking-legal-action-against-nick-kyrgios-8107553/","1","SPORTS"
"6"," Tennis fan takes legal action after Nick Kyrgios alleges her of ‘having 700 drinks’ during Wimbledon 2022 final  ","1661255527030","     Fan takes legal action after Kyrgios alleges her of ‘having 700 drinks’ during Wimbledon final"," https://www.indiatoday.in/sports/tennis/story/tennis-fan-takes-legal-action-after-nick-kyrgios-alleges-her-of-having-700-drinks-during-wimbledon-2022-final-1991608-2022-08-23?utm_source=rss ","1","SPORTS"
"7","Fan accused of having '700 drinks' by Nick Kyrgios begins legal action","1661260601000","Nick Kyrgios, well known for his outbursts, complained to the umpire during his match against Novak Djokovic, saying that a fan had been talking to him during points.","https://www.hindustantimes.com/sports/tennis/fan-accused-of-having-700-drinks-by-nick-kyrgios-begins-legal-action-101661257353882.html","1","SPORTS"
"8","No fans and bomb shelters: Ukrainian Premier League restarts amid ongoing Russian invasion","1661261886000","For the first time since Russia's invasion of the country, Ukraine's footballing stars will be taking to the field as the Ukrainian Premier League begins again. ","https://www.cnn.com/2022/08/23/football/ukrainian-premier-league-return-russia-invasion-spt-intl/index.html","2","SPORTS"
"9","Manchester United relieve pressure with dramatic 2-1 win at Old Trafford against rival Liverpool","1661264369000","Manchester United stunned perennial title favorite Liverpool 2-1 at Old Trafford on Monday in a clash between two traditional titan teams which are underperforming in the Premier League this season.","https://www.cnn.com/2022/08/23/football/manchester-united-liverpool-premier-league-spt-intl/index.html","3","SPORTS"
"10","Jurgen Klopp Says Liverpool Should Be Awarded Win if Manchester United Game is Abandoned","1661077506030","Juergen Klopp said Liverpool should be awarded the three points if the game at Old Trafford against Manchester United is called off due to fan protests","https://www.news18.com/news/football/jurgen-klopp-says-liverpool-should-be-awarded-win-if-manchester-united-game-is-abandoned-5794495.html","3","SPORTS"
"11","Watch: Manchester United defender Raphael Varane gets into WrestleMania mode, decides to spear Liverpool opponent","1661240997000","Raphael Varane got into WrestleMania mode to stop Liverpool's Luis Diaz during Manchester United's 2-1 win vs Liverpool in the Premier League.","https://www.hindustantimes.com/sports/football/watch-manchester-united-defender-raphael-varane-gets-into-wrestlemania-mode-decides-to-spear-liverpool-opponent-101661240682177.html","3","SPORTS"
"12","Erik Ten Hag needs to take brave calls if Manchester United are to avoid Liverpool thrashing","1661078674000","","https://indianexpress.com/article/sports/football/man-united-in-maelstrom-as-liverpool-heads-to-old-trafford-8103143/","3","SPORTS"
"13","'Want Them Behind The Club': Erik ten Hag Calls for Unity Among Manchester United Fans Ahead of Liverpool Clash","1660918691030","Manchester United have come under fire from fans after losing both their opening games to sit at the bottom of the league table and also failing to secure transfer targets in the close season","https://www.news18.com/news/football/want-them-behind-the-club-erik-ten-hag-calls-for-unity-among-manchester-united-fans-ahead-of-liverpool-clash-5784763.html","3","SPORTS"
"14","Manchester United springs back to life with 2-1 win over Liverpool","1661219490000","Composed finishes by Jadon Sancho in the 16th minute and Marcus Rashford in the 53rd earned Manchester United a victory over old rivals Liverpool at Old Trafford that will bring some respite for under-pressure manager Erik ten Hag.","https://www.hindustantimes.com/sports/football/manchester-united-springs-back-to-life-with-2-1-win-over-liverpool-101661219252025.html","3","SPORTS"
"15","Manchester United vs Liverpool: Jurgen Klopp wants a walkover if game is postponed at Old Trafford due to fans’ protest","1661056777000","","https://indianexpress.com/article/sports/football/manchester-united-vs-liverpool-jurgen-klopp-walkover-game-postponed-old-trafford-fans-protest-8102562/","3","SPORTS"
