"Id","Title","Time","Description","Link"
"1","All the nerdy things you need to know about 'House of the Dragon'","1661087652000","""Game of Thrones"" fans, it's time to put your season 8 trust issues aside and return to Westeros for another emotionally taxing adventure!  HBO's new spinoff ""House of the Dragon"" promises to have all of the rich lore of the original series, plus an extended CGI dragon budget. ","https://www.cnn.com/2022/08/21/entertainment/house-of-dragon-what-to-know-cec/index.html"
"2","'House of the Dragon' plays a less-addictive game for an earlier throne","1660922186000","HBO has followed the majesty of ""Game of Thrones"" with what might be called ""games of throne"" in ""House of the Dragon,"" a series whose epic visual grandeur belies a smaller and less addictive power struggle, more narrowly focused on the Targaryen line. It's not bad, and there are dragons aplenty, but it doesn't produce the sort of characters that defined and elevated its predecessor to prestige-TV royalty.","https://www.cnn.com/2022/08/19/entertainment/house-of-the-dragon-review/index.html"
"3","How 'Severance' perfected its creepy, beautiful visual language","1660995983000","When we first meet Helly R., the indefatigable heroine of ""Severance,"" she's splayed on a conference table in a windowless room carpeted in putrid shades of green. She awakens, for the first time, as an ""innie"" -- someone who's elected to sever their brain so that they can perform their work duties as a person separate from who they are out of the office -- an extreme means of achieving work-life balance. ","https://www.cnn.com/2022/08/20/entertainment/severance-set-design-emmys-2022-cec/index.html"
"4","Trevor Noah defends Kanye West: 'Human beings as a whole are complicated'","1660920466000","Trevor Noah is sick of cancel culture and he had something to say about the public's recent perception of Kanye West.","https://www.cnn.com/2022/08/19/entertainment/trevor-noah-kanye-west/index.html"
"5","Actor Gary Busey faces sex offense charges at Monster Mania Convention in New Jersey","1661040622000","Actor Gary Busey is facing sex offense charges that allegedly occurred during the annual Monster Mania Convention hosted at the Doubletree Hotel in Cherry Hill, New Jersey last weekend, according to police.","https://www.cnn.com/2022/08/20/entertainment/gary-busey-sex-offense-charge/index.html"
"6","Sister acts: 'Echoes' and 'Bad Sisters' ride sibling mysteries into the stream","1660921985000","In a perfect sign of the peak-TV times, a single Friday brings a pair of mystery series devoted to sisters and their unique bonds, including one with (sort-of) evil twins. ""Echoes"" starts with promise upon which it doesn't deliver, while ""Bad Sisters"" -- too long, but satisfying at the end -- plays like the never-made third season of ""Big Little Lies,"" where the really ""bad"" person is the abusive husband who winds up dead.","https://www.cnn.com/2022/08/19/entertainment/echoes-bad-sisters-review/index.html"
"7","Ten months after the 'Rust' shooting, Alec Baldwin says he still thinks about it every day","1661038314000","Alec Baldwin says he doesn't believe he or anyone else will face criminal charges in the fatal shooting last year on the ""Rust"" movie set -- a tragic episode he says ""has taken years off"" his life and has cost him professionally.","https://www.cnn.com/2022/08/19/entertainment/alec-baldwin-interview-rust-shooting/index.html"
"8","Marvel's 'She-Hulk: Attorney at Law' courts your interest with a half-hour comedy","1660999934000","Disney+ debuts a Marvel comedy spin-off featuring Tatiana Maslany as ""She-Hulk."" Plus, check out the eagerly awaited ""Game of Thrones"" prequel on HBO and a new album from Panic! at the Disco.","https://www.cnn.com/2022/08/20/entertainment/she-hulk-attorney-at-law-disney-plc/index.html"
"9","Jonah Hill is taking a break from promoting films because of anxiety attacks","1660903397000","Actor and filmmaker Jonah Hill is stepping back from promoting his films, including his debut documentary, due to anxiety attacks.","https://www.cnn.com/2022/08/19/entertainment/jonah-hill-anxiety-intl-scli-wellness/index.html"
"10","'Hannah Montana' runner-up actresses revealed ","1660932710000","We now know the two actresses Miley Cyrus beat out to star on ""Hannah Montana.""","https://www.cnn.com/2022/08/19/entertainment/hannah-montana-actresses/index.html"
"11","Blackpink drops new 'Pink Venom' video","1660921433000","K-pop girl group Blackpink has released a new song, ""Pink Venom,"" and an accompanying music video for it. ","https://www.cnn.com/2022/08/19/entertainment/blackpink-pink-venom-video/index.html"
"12","Brooke Shields gets tearful as her daughter heads back to college","1660914631000","Brooke Shields says ""the second time is not the charm"" when it comes to waving goodbye to your college-bound child. ","https://www.cnn.com/2022/08/19/entertainment/brooke-shields-daughter-college-intl-scli/index.html"
"13","Brad Pitt and Angelina Jolie's 2016 plane incident: FBI report reveals new details","1660841645000","Angelina Jolie accused Brad Pitt of injuring her and verbally abusing their children during a heated encounter aboard a private jet in 2016, according to an FBI report provided to CNN by a source. ","https://www.cnn.com/2022/08/18/entertainment/angelina-jolie-brad-pitt-fbi-report/index.html"
"14","Kid Cudi had a stroke while in rehab ","1660919535000","Kid Cudi has shared he suffered a health crisis while in rehab in 2016.","https://www.cnn.com/2022/08/19/entertainment/kid-cudi-stroke/index.html"
"15","'Twilight Saga: New Moon' director regrets rejecting Taylor Swift from film","1660843838000","The world was denied a Taylor Swift cameo in ""The Twilight Saga: New Moon."" The person who made that call now wishes he hadn't.","https://www.cnn.com/2022/08/18/entertainment/taylor-swift-twilight-saga/index.html"
"16","Tim Burton's 'Wednesday' trailer is dark and magical","1660775330000","The Addams Family is back. This time thanks to director Tim Burton. ","https://www.cnn.com/2022/08/17/entertainment/wednesday-tim-burton-netflix/index.html"
"17","Demi Lovato debuts new song '29'","1660836231000","Demi Lovato has released her latest single, ""29,"" and it's speculated the song is about the age difference she had with her former boyfriend, Wilmer Valderrama. ","https://www.cnn.com/2022/08/18/entertainment/demi-lovato-song-boyfriend-29/index.html"
"18","'Wonder Years' star Danica McKellar explains why she became a mathematician and stopped acting","1660836073000","""The Wonder Years"" actress Danica McKellar left acting to pursue a mathematics career and now she's explaining why. ","https://www.cnn.com/2022/08/18/entertainment/danica-mckellar-mathematician/index.html"
"19","How the team behind Netflix's 'Untold' reframed the Manti Te'o girlfriend hoax ","1660666408000","Manti Te'o used to be revered. ","https://www.cnn.com/2022/08/16/entertainment/manti-teo-untold-netflix-q-and-a-cec/index.html"
"20","'Better Call Saul' breaks in the right direction with its satisfying series finale","1660622980000","After six seasons building toward Saul Goodman's foreshadowed fall, ""Better Call Saul"" presented its final chapter, faced with the burdensome expectations raised by its Emmy-winning predecessor, ""Breaking Bad."" Adding callbacks from that series and building on its own run, the show delivered a thoughtful contemplation of what transformed the title character, and whether there was any path to redemption.","https://www.cnn.com/2022/08/16/entertainment/better-call-saul-series-finale-review/index.html"
"21","Zoë Kravitz regrets Will Smith slap comment","1660745568000","After Will Smith famously slapped Chris Rock during this year's Academy Awards ceremony, Zoë Kravitz posted red carpet photos of herself at the event on social media.","https://www.cnn.com/2022/08/17/entertainment/zoe-kravitz-wsj-magazine/index.html"
"22","Ezra Miller, 'The Flash' star, seeking treatment for mental health issues","1660663234000","Ezra Miller, who stars in the upcoming DC film ""The Flash,"" is seeking treatment for matters related to mental health, according to a statement Miller provided to CNN through a representative. ","https://www.cnn.com/2022/08/16/entertainment/ezra-miller-seeks-treatment/index.html"
"23","Kristin Chenoweth's bleeped 'Celebrity Family Feud' answer stuns Steve Harvey ","1660671132000","Kristin Chenoweth managed to leave host Steve Harvey speechless after she got ""Wicked"" on a recent episode of ""Celebrity Family Feud.""","https://www.cnn.com/2022/08/16/entertainment/krisin-chenoweth-family-feud/index.html"
"24","Tommy Dorfman said she would have transitioned earlier if not for '13 Reasons Why'","1660684180000","Actress Tommy Dorfman came out as trans just over a year ago in a triumphant spread in Time. But if she hadn't appeared on the popular Netflix series ""13 Reasons Why,"" she said, she may have come out earlier. ","https://www.cnn.com/2022/08/16/entertainment/tommy-dorfman-trans-13-reasons-why-cec/index.html"
"25","Viola Davis to star in 'Hunger Games' prequel ","1660656944000","Viola Davis has been cast as a villain in ""The Hunger Games"" prequel, ""The Ballad of Songbirds and Snakes.""","https://www.cnn.com/2022/08/16/entertainment/viola-davis-hunger-games-prequel-cast/index.html"
"26","'Bullet Train' moves plenty fast","1659724205000","""Bullet Train"" certainly moves at an appropriately brisk pace, with Brad Pitt heading a sprawling cast. But the breakneck action is offset by a smart-alecky tone that proves both uneven and occasionally too cute for its own good, along with a mashup of styles -- from the music to the visuals -- that comes across like a Quentin Tarantino wannabe, with a dash of ""Deadpool"" for good measure.","https://www.cnn.com/2022/08/02/entertainment/bullet-train-review/index.html"
