"Id","Title","Time","Description","Link"
"1","Government defends medical student number cap","1660827975000","Competition is fierce for doctor training places, but ministers say limit on numbers must stay.","https://www.bbc.co.uk/news/health-62594141?at_medium=RSS&at_campaign=KARANGA"
"2","Covid booster rollout to start in early September in England","1660828627000","Care homes residents and housebound people will be the first to receive a jab in England.","https://www.bbc.co.uk/news/health-62591590?at_medium=RSS&at_campaign=KARANGA"
"3","Covid: Brain fog more common two years on, study suggests","1660784304000","Diagnoses of dementia rose after two years but other issues like depression fell away, research found.","https://www.bbc.co.uk/news/health-62577464?at_medium=RSS&at_campaign=KARANGA"
"4","Infected blood victims to get £100,000 compensation","1660738990000","Ros Cooper, who was infected with hepatitis C as a child, is one of 4,000 people to receive money.","https://www.bbc.co.uk/news/health-62565747?at_medium=RSS&at_campaign=KARANGA"
"5","Ambulance pressures: Thousands of taxis sent following 999 calls","1660819940000","Figures obtained by the BBC show taxi firms increasingly being used to assist front-line services.","https://www.bbc.co.uk/news/health-62165808?at_medium=RSS&at_campaign=KARANGA"
"6","Dog infected with monkeypox prompts isolation warning","1660758845000","Isolating from pets when infected and disposing of rubbish carefully is important, health experts say.","https://www.bbc.co.uk/news/health-62577472?at_medium=RSS&at_campaign=KARANGA"
"7","Covid: UK first country to approve dual-strain vaccine","1660615592000","The bivalent vaccine will now form part of the booster campaign to be rolled out this autumn.","https://www.bbc.co.uk/news/health-62548336?at_medium=RSS&at_campaign=KARANGA"
"8","Monkeypox: Lack of vaccines sparks pause in UK rollout","1660573581000","UK Health Security Agency says clinics could run out of vaccine supplies by the end of August.","https://www.bbc.co.uk/news/uk-62551821?at_medium=RSS&at_campaign=KARANGA"
"9","Changing kidney blood type may boost transplants","1660553296000","Many BAME patients waiting for a donor kidney are blood type B so development could be 'game-changer'.","https://www.bbc.co.uk/news/uk-62545147?at_medium=RSS&at_campaign=KARANGA"
"10","Some antidepressants may make heatwave challenging","1660362630000","Some types of mental health medication may make it difficult for the body to regulate temperature.","https://www.bbc.co.uk/news/health-62496985?at_medium=RSS&at_campaign=KARANGA"
"11","Thousands more NHS beds to be created in England this winter","1660304309000","Health service chiefs have promised some 7,000 extra beds in England to tackle increased demands.","https://www.bbc.co.uk/news/health-62519613?at_medium=RSS&at_campaign=KARANGA"
"12","Covid: Evusheld antibody protection ruled out for most vulnerable","1660297601000","The antibody injection had promised a protection boost to those with conditions such as blood cancer.","https://www.bbc.co.uk/news/health-62516896?at_medium=RSS&at_campaign=KARANGA"
