"Id","Title","Time","Description","Link"
"1","Rory McIlroy hails Tiger Woods' involvement in PGA Tour discussions on LIV Golf ","1660819382000","Rory McIlroy hailed the influence of ""hero"" Tiger Woods as the 15-time major winner met with fellow PGA Tour players to discuss the controversial Saudi-backed LIV Golf invitational series.","https://www.cnn.com/2022/08/18/sport/rory-mcilroy-tiger-woods-pga-liv-spt-intl/index.html"
"2","Rafael Nadal loses against Borna Ćorić on return from injury","1660814867000",,"https://www.cnn.com/2022/08/18/tennis/rafael-nadal-cincinnati-open-tennis-spt-intl/index.html"
"3","Lebron James becomes highest paid NBA player ever after signing two-year extension with LA Lakers, reports","1660820847000","NBA superstar Lebron James has agreed a two-year extension to his contract with the Los Angeles Lakers on Wednesday, in a deal worth $97.1 million, according to various reports, including ESPN's Adrian Wojnarowski.","https://www.cnn.com/2022/08/18/sport/lebron-james-la-lakers-contract-spt-intl/index.html"
"4","Joe Burrow 'feeling better every day' after surgery for ruptured appendix","1660815284000","Joe Burrow said on Wednesday that he is ""feeling good, feeling better every day"" after undergoing surgery for a ruptured appendix 23 days ago. ","https://www.cnn.com/2022/08/18/sport/joe-burrow-ruptured-appendix-comeback-bengals-spt-intl/index.html"
"5","LIV golfer files defamation lawsuit against Golf Channel and commentator Brandel Chamblee","1660808879000","LIV golfer Patrick Reed filed a defamation lawsuit against the Golf Channel and commentator Brandel Chamblee on Tuesday.","https://www.cnn.com/2022/08/18/sport/liv-golf-patrick-reed-lawsuit-spt-intl/index.html"
"6","ESPN analyst Dick Vitale is cancer free  ","1660813773000","ESPN analyst Dick Vitale is cancer free after lengthy battles with lymphoma and melanoma, he announced Wednesday.","https://www.cnn.com/2022/08/18/sport/dick-vitale-cancer-free-intl-spt/index.html"
"7","NBA won't play games on November 8 to encourage fans to vote in the midterm elections","1660732127000","The NBA will not play games on November 8 in the US this year in order to encourage fans to vote in the midterm elections. ","https://www.cnn.com/2022/08/17/sport/nba-midterm-elections-voting-spt-intl/index.html"
"8","Australian rugby league player banned for placing 'a hand between the buttocks' of an opponent","1660733139000","Australian rugby league player Corey Norman has been given an eight-game suspension and fined £500 (about $605) for ""internationally plac(ing) a hand between the buttocks of an opposing player,"" the Super League announced on Wednesday. ","https://www.cnn.com/2022/08/17/sport/corey-norman-toulouse-rugby-league-ban-spt-intl/index.html"
"9","'Please don't forget about us,' says Ukrainian football legend Andriy Shevchenko","1660648201000","As he urges the world not to forget about those still facing imminent danger from Russian forces, Ukrainian soccer icon Andriy Shevchenko says sport has a major role to play in uniting people behind his country, ","https://www.cnn.com/2022/08/12/football/andriy-shevchenko-ukraine-war-effort-spt-intl/index.html"
"10","Ukrainian tennis star on a 'mission' to help war-torn country ","1660648231000","Ukrainian tennis player Elina Svitolina says she has a ""mission"" to help her country and wants to use her platform to provide hope to the war-torn nation. ","https://www.cnn.com/2022/06/27/tennis/elina-svitolina-ukraine-united-24-spt-intl/index.html"
